1601683559689,1093,Genera,500,HTTP/1.1 500,BTN 1-1,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1090,0,0
1601683560789,481,Cierra,200,HTTP/1.1 200,BTN 1-1,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,481,0,0
1601683560254,1226,Genera,500,HTTP/1.1 500,BTN 1-2,text,false,,400,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1226,0,0
1601683560854,1023,Genera,500,HTTP/1.1 500,BTN 1-3,text,false,,400,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1023,0,0
1601683561482,403,Cierra,200,HTTP/1.1 200,BTN 1-2,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,403,0,0
1601683561878,490,Cierra,200,HTTP/1.1 200,BTN 1-3,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,490,0,0
1601683561454,942,Genera,500,HTTP/1.1 500,BTN 1-4,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,942,0,0
1601683562396,241,Cierra,200,HTTP/1.1 200,BTN 1-4,text,true,,335,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,241,0,0
1601683562047,1046,Genera,500,HTTP/1.1 500,BTN 1-5,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1046,0,0
1601683563093,400,Cierra,200,HTTP/1.1 200,BTN 1-5,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,400,0,0
1601683562645,850,Genera,500,HTTP/1.1 500,BTN 1-6,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,850,0,0
1601683563496,309,Cierra,200,HTTP/1.1 200,BTN 1-6,text,true,,335,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,309,0,0
1601683563242,899,Genera,500,HTTP/1.1 500,BTN 1-7,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,899,0,0
1601683564142,353,Cierra,200,HTTP/1.1 200,BTN 1-7,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,353,0,0
1601683563846,869,Genera,500,HTTP/1.1 500,BTN 1-8,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,869,0,0
1601683564715,375,Cierra,200,HTTP/1.1 200,BTN 1-8,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,375,0,0
1601683564444,1094,Genera,500,HTTP/1.1 500,BTN 1-9,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1094,0,0
1601683565539,273,Cierra,200,HTTP/1.1 200,BTN 1-9,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,273,0,0
1601683565045,912,Genera,500,HTTP/1.1 500,BTN 1-10,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,912,0,0
1601683565957,234,Cierra,200,HTTP/1.1 200,BTN 1-10,text,true,,335,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,234,0,0
1601683565648,909,Genera,500,HTTP/1.1 500,BTN 1-11,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,909,0,0
1601683566558,514,Cierra,200,HTTP/1.1 200,BTN 1-11,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,514,0,0
1601683566257,855,Genera,500,HTTP/1.1 500,BTN 1-12,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,855,0,0
1601683567113,306,Cierra,200,HTTP/1.1 200,BTN 1-12,text,true,,335,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,306,0,0
1601683566846,1048,Genera,500,HTTP/1.1 500,BTN 1-13,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1048,0,0
1601683567895,328,Cierra,200,HTTP/1.1 200,BTN 1-13,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,328,0,0
1601683567453,932,Genera,500,HTTP/1.1 500,BTN 1-14,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,932,0,0
1601683568385,381,Cierra,200,HTTP/1.1 200,BTN 1-14,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,381,0,0
1601683568052,960,Genera,500,HTTP/1.1 500,BTN 1-15,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,960,0,0
1601683569012,315,Cierra,200,HTTP/1.1 200,BTN 1-15,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,315,0,0
1601683568648,937,Genera,500,HTTP/1.1 500,BTN 1-16,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,937,0,0
