1601683559689,1093,Genera,500,HTTP/1.1 500,BTN 1-1,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1090,QA-CESAR,0,0
1601683560789,481,Cierra,200,HTTP/1.1 200,BTN 1-1,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,481,QA-CESAR,0,0
1601683560254,1226,Genera,500,HTTP/1.1 500,BTN 1-2,text,false,,400,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1226,QA-CESAR,0,0
1601683560854,1023,Genera,500,HTTP/1.1 500,BTN 1-3,text,false,,400,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1023,QA-CESAR,0,0
1601683561482,403,Cierra,200,HTTP/1.1 200,BTN 1-2,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,403,QA-CESAR,0,0
1601683561878,490,Cierra,200,HTTP/1.1 200,BTN 1-3,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,490,QA-CESAR,0,0
1601683561454,942,Genera,500,HTTP/1.1 500,BTN 1-4,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,942,QA-CESAR,0,0
1601683562396,241,Cierra,200,HTTP/1.1 200,BTN 1-4,text,true,,335,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,241,QA-CESAR,0,0
1601683562047,1046,Genera,500,HTTP/1.1 500,BTN 1-5,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,1046,QA-CESAR,0,0
1601683563093,400,Cierra,200,HTTP/1.1 200,BTN 1-5,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,400,QA-CESAR,0,0
1601683562645,850,Genera,500,HTTP/1.1 500,BTN 1-6,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,850,QA-CESAR,0,0
1601683563496,309,Cierra,200,HTTP/1.1 200,BTN 1-6,text,true,,335,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,309,QA-CESAR,0,0
1601683563242,899,Genera,500,HTTP/1.1 500,BTN 1-7,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,899,QA-CESAR,0,0
1601683564142,353,Cierra,200,HTTP/1.1 200,BTN 1-7,text,true,,335,0,3,3,http://52.9.236.138:9287/api/emergenciasExternas/updateEventoExternoBoton,353,QA-CESAR,0,0
1601683563846,869,Genera,500,HTTP/1.1 500,BTN 1-8,text,false,,400,0,2,2,http://52.9.236.138:9287/api/emergenciasExternas/saveEventoExternoBoton,869,QA-CESAR,0,0
