@IPDevice:ACCC8ECF091C:1,-99.1273,19.4064,C2C-ASTURI-8079-A,ACTIVO
@IPDevice:ACCC8ED804FF:1,-99.0999,19.4255,C2N-MOCTEZ-16990-A,ACTIVO
@IPDevice:ACCC8ECF157C:1,-99.2088,19.3449,C2P-ALPES-12749-A,ACTIVO
@IPDevice:ACCC8ED80F14:1,-99.1135,19.4083,C2N-MERCED-3851-B,ACTIVO
@IPDevice:ACCC8ED80F16:1,-99.2045,19.4067,C2P-TACUBA-13372-A,ACTIVO
@IPDevice:ACCC8ED80C1D:1,-99.2328,19.3773,C2P-SANTAF-6343-A,ACTIVO
@IPDevice:ACCC8ECF1425:1,-99.1195,19.4423,C2N-CONSUL-3776-B,ACTIVO
@IPDevice:ACCC8ED80E67:1,-99.0396,19.2821,C2O-ZAPOTI-5587-A,ACTIVO
@IPDevice:ACCC8ECF1428:1,-99.1103,19.4219,C2N-MERCED-12190-A,ACTIVO
@IPDevice:ACCC8ECF143C:1,-99.0591,19.3402,C2O-QUETZA-15543-A,ACTIVO
@IPDevice:ACCC8ECF10A5:1,-99.0304,19.2597,C2O-TEPEPA-16907-A,ACTIVO
@IPDevice:ACCC8ECF173B:1,-99.0514,19.2844,C2O-ZAPOTI-16653-A,ACTIVO
@IPDevice:ACCC8ED7C702:1,-99.0805,19.4053,C2N-TLACOT-7052-B,ACTIVO
@IPDevice:ACCC8ED7C704:1,-99.1445,19.3873,C2S-NARVAR-3011-A,ACTIVO
@IPDevice:ACCC8ED7C708:1,-99.0591,19.3402,C2O-QUETZA-15543-B,ACTIVO
@IPDevice:ACCC8ECF16CE:1,-99.1401,19.4275,C2C-ALAMED-492-B,ACTIVO
@IPDevice:ACCC8ECF0913:1,-99.0685,19.295,C2O-TEZONC-15857-B,ACTIVO
@IPDevice:ACCC8ECF090D:1,-99.1234,19.5054,C2N-LINDAV-6864-A,ACTIVO
@IPDevice:ACCC8ECEE3DF:1,-99.0514,19.2844,C2O-ZAPOTI-16653-B,ACTIVO
@IPDevice:ACCC8ED80F09:1,-99.1165,19.2438,C2O-LANORI-4255-B,ACTIVO
@IPDevice:ACCC8ECF156F:1,-99.2012,19.3993,C2P-PLATER-7945-A,ACTIVO
@IPDevice:ACCC8ED80F07:1,-99.3183,19.3525,C2P-CUAJIM-5832-B,ACTIVO
@IPDevice:ACCC8ED80C2E:1,-99.1734,19.5021,C2P-LARAZA-6417-B,ACTIVO
@IPDevice:ACCC8ECF144F:1,-99.2042,19.3992,C2P-PLATER-9004-B,ACTIVO
@IPDevice:ACCC8ED7C6E0:1,-99.0181,19.3721,C2O-OASIS-16311-B,ACTIVO
@IPDevice:ACCC8ECF172B:1,-99.0739,19.4862,C2N-PRADER-11230-A,ACTIVO
@IPDevice:ACCC8ED80D85:1,-99.0916,19.36,C2O-ABASTO-15358-A,ACTIVO
@IPDevice:ACCC8ECF1595:1,-99.1381,19.2752,C2O-LANORI-7691-B,ACTIVO
@IPDevice:ACCC8ED80D81:1,-99.0268,19.38,C2O-OASIS-5179-A,ACTIVO
@IPDevice:ACCC8ECF1598:1,-99.2005,19.4559,C2P-TACUBA-6208-B,ACTIVO
@IPDevice:ACCC8ECF16C3:1,-99.0914,19.4659,C2N-ARAGON-2077-A,ACTIVO
@IPDevice:ACCC8ED80411:1,-99.1414,19.4514,C2C-BUENAV-2355-A,ACTIVO
@IPDevice:ACCC8ED7C70E:1,-99.1051,19.2645,C2O-TEPEPA-16808-A,ACTIVO
@IPDevice:ACCC8ED7C70D:1,-99.1409,19.391,C2S-NARVAR-418-A,ACTIVO
